index,deep_label,deep_pred,deep_score,micro_emotion,micro_score,fusion_result
1,real,fake,0.8187,negative,0.8543,SPOOF
2,real,fake,0.8847,negative,0.6502,SPOOF
3,real,fake,0.7979,negative,0.5397,SPOOF
4,real,fake,0.9231,negative,0.5561,SPOOF
5,real,fake,0.8705,negative,0.7545,SPOOF
6,real,fake,0.8357,negative,0.5821,SPOOF
7,real,fake,0.8416,negative,0.6248,SPOOF
8,real,fake,0.9296,positive,0.4065,SPOOF
9,real,fake,0.8833,negative,0.646,SPOOF
10,real,fake,0.8441,negative,0.7147,SPOOF
11,real,fake,0.8229,negative,0.6479,SPOOF
12,real,fake,0.8791,negative,0.7543,SPOOF
13,real,fake,0.7652,negative,0.5607,SPOOF
14,real,fake,0.8492,negative,0.6716,SPOOF
15,real,fake,0.8638,negative,0.5933,SPOOF
16,real,fake,0.8399,negative,0.7208,SPOOF
17,real,fake,0.8577,negative,0.5126,SPOOF
18,real,fake,0.8746,negative,0.6239,SPOOF
19,real,fake,0.7969,negative,0.4739,SPOOF
20,real,fake,0.787,negative,0.6198,SPOOF
21,real,fake,0.8785,negative,0.6341,SPOOF
22,real,fake,0.6931,negative,0.6768,SPOOF
23,real,fake,0.8594,negative,0.5745,SPOOF
24,real,fake,0.9099,negative,0.6626,SPOOF
25,real,fake,0.9168,negative,0.7747,SPOOF
26,real,fake,0.8016,negative,0.867,SPOOF
27,real,fake,0.6255,negative,0.8534,SPOOF
28,real,fake,0.7492,negative,0.5054,SPOOF
29,real,fake,0.8392,negative,0.5111,SPOOF
30,real,fake,0.8183,negative,0.6387,SPOOF
31,real,fake,0.7524,negative,0.6315,SPOOF
32,real,fake,0.8222,negative,0.5419,SPOOF
33,real,fake,0.6745,negative,0.6374,SPOOF
34,real,fake,0.7345,negative,0.5694,SPOOF
35,real,fake,0.8165,surprise,0.5488,SPOOF
36,real,fake,0.6857,negative,0.4809,SPOOF
37,real,fake,0.7621,negative,0.4591,SPOOF
38,real,fake,0.7217,negative,0.5913,SPOOF
39,real,fake,0.6396,negative,0.6331,SPOOF
40,real,fake,0.7132,negative,0.6897,SPOOF
41,real,fake,0.8769,positive,0.4226,SPOOF
42,real,fake,0.8026,negative,0.5716,SPOOF
43,real,fake,0.7308,negative,0.6444,SPOOF
44,real,fake,0.7833,negative,0.612,SPOOF
45,real,fake,0.8768,negative,0.8053,SPOOF
46,real,fake,0.7001,negative,0.5745,SPOOF
47,real,fake,0.7592,negative,0.6221,SPOOF
48,real,fake,0.6759,negative,0.4223,SPOOF
49,real,fake,0.8761,negative,0.7426,SPOOF
50,real,fake,0.7084,negative,0.6576,SPOOF
51,real,fake,0.6947,negative,0.6505,SPOOF
52,real,fake,0.8504,negative,0.6626,SPOOF
53,real,fake,0.7998,negative,0.6343,SPOOF
54,real,fake,0.7596,negative,0.6703,SPOOF
55,real,fake,0.8201,negative,0.5954,SPOOF
56,real,fake,0.7849,negative,0.7666,SPOOF
57,real,fake,0.7131,negative,0.5944,SPOOF
58,real,fake,0.6582,negative,0.4107,SPOOF
59,real,fake,0.7315,negative,0.8687,SPOOF
60,real,fake,0.5631,negative,0.5389,SPOOF
61,real,fake,0.8145,positive,0.4224,SPOOF
62,real,fake,0.7451,negative,0.3959,SPOOF
63,real,fake,0.7917,negative,0.5461,SPOOF
64,real,fake,0.754,negative,0.6643,SPOOF
65,real,fake,0.8536,surprise,0.4434,SPOOF
66,real,fake,0.7057,negative,0.5335,SPOOF
67,real,fake,0.7766,negative,0.5451,SPOOF
68,real,fake,0.7173,positive,0.3905,SPOOF
69,real,fake,0.8373,positive,0.3826,SPOOF
70,real,fake,0.7477,negative,0.3777,SPOOF
71,real,fake,0.7808,negative,0.3483,SPOOF
72,real,fake,0.8611,positive,0.4116,SPOOF
73,real,fake,0.7231,negative,0.7852,SPOOF
74,real,fake,0.8568,negative,0.7576,SPOOF
75,real,fake,0.9116,negative,0.4311,SPOOF
76,real,fake,0.6954,negative,0.6089,SPOOF
77,real,fake,0.7421,negative,0.5609,SPOOF
78,real,fake,0.8206,negative,0.5661,SPOOF
79,real,fake,0.7448,negative,0.5293,SPOOF
80,real,fake,0.8192,negative,0.6058,SPOOF
81,real,fake,0.8459,negative,0.6648,SPOOF
82,real,fake,0.8422,negative,0.6255,SPOOF
83,real,fake,0.6224,negative,0.6817,SPOOF
84,real,fake,0.8394,negative,0.4821,SPOOF
85,real,fake,0.8543,negative,0.7214,SPOOF
86,real,fake,0.7947,negative,0.5892,SPOOF
87,real,fake,0.8905,negative,0.3987,SPOOF
88,real,fake,0.7367,negative,0.5899,SPOOF
89,real,fake,0.8233,negative,0.5911,SPOOF
90,real,fake,0.6772,negative,0.4819,SPOOF
91,real,fake,0.8649,negative,0.6631,SPOOF
92,real,fake,0.8903,negative,0.6056,SPOOF
93,real,fake,0.7109,negative,0.605,SPOOF
94,real,fake,0.6226,negative,0.5683,SPOOF
95,real,fake,0.8805,negative,0.7324,SPOOF
96,real,fake,0.6775,negative,0.7877,SPOOF
97,real,fake,0.6537,positive,0.4951,SPOOF
98,real,fake,0.5844,negative,0.6129,SPOOF
99,real,fake,0.666,negative,0.5413,SPOOF
100,real,fake,0.6069,negative,0.651,SPOOF
101,fake,fake,0.062,negative,0.6126,SPOOF
102,fake,fake,0.1344,negative,0.6214,SPOOF
103,fake,fake,0.0314,negative,0.5,SPOOF
104,fake,fake,0.0092,negative,0.3975,SPOOF
105,fake,fake,0.0365,negative,0.6882,SPOOF
106,fake,fake,0.1331,negative,0.8533,SPOOF
107,fake,fake,0.1661,negative,0.6971,SPOOF
108,fake,fake,0.0814,negative,0.7883,SPOOF
109,fake,fake,0.3999,negative,0.4989,SPOOF
110,fake,fake,0.0907,negative,0.8016,SPOOF
111,fake,fake,0.0903,negative,0.5019,SPOOF
112,fake,fake,0.0602,negative,0.6822,SPOOF
113,fake,fake,0.0874,negative,0.6467,SPOOF
114,fake,fake,0.0504,negative,0.616,SPOOF
115,fake,fake,0.0457,negative,0.4553,SPOOF
116,fake,fake,0.1337,negative,0.8142,SPOOF
117,fake,fake,0.0707,negative,0.5338,SPOOF
118,fake,fake,0.1013,negative,0.4105,SPOOF
119,fake,fake,0.1611,negative,0.7052,SPOOF
120,fake,fake,0.0579,negative,0.7959,SPOOF
121,fake,fake,0.1333,negative,0.6472,SPOOF
122,fake,fake,0.1104,negative,0.5524,SPOOF
123,fake,fake,0.048,negative,0.5739,SPOOF
124,fake,fake,0.2177,negative,0.5618,SPOOF
