deep_score,deep_class,micro_score,micro_class,fusion_label
0.9201,0,0.8543,1,SPOOF
0.9417,0,0.6502,1,SPOOF
0.8976,0,0.5397,1,SPOOF
0.901,0,0.5561,1,SPOOF
0.8462,0,0.7545,1,SPOOF
0.7757,0,0.5821,1,LIVE
0.8655,0,0.6248,1,SPOOF
0.6434,0,0.4065,0,LIVE
0.9762,0,0.646,1,SPOOF
0.8425,0,0.7147,1,SPOOF
0.6643,0,0.6479,1,LIVE
0.8459,0,0.7543,1,SPOOF
0.7673,0,0.5607,1,LIVE
0.8767,0,0.6716,1,SPOOF
0.8105,0,0.5933,1,SPOOF
0.9215,0,0.7208,1,SPOOF
0.9173,0,0.5126,1,SPOOF
0.5642,0,0.6239,1,LIVE
0.6696,0,0.4739,1,LIVE
0.6708,0,0.6198,1,LIVE
0.905,0,0.6341,1,SPOOF
0.8788,0,0.6768,1,SPOOF
0.8349,0,0.5745,1,SPOOF
0.9391,0,0.6626,1,SPOOF
0.9663,0,0.7747,1,SPOOF
0.9764,0,0.867,1,SPOOF
0.5381,0,0.8534,1,LIVE
0.8585,0,0.5054,1,SPOOF
0.9132,0,0.5111,1,SPOOF
0.8318,0,0.6387,1,SPOOF
0.7265,0,0.6315,1,LIVE
0.8891,0,0.5419,1,SPOOF
0.9279,0,0.6374,1,SPOOF
0.8674,0,0.5694,1,SPOOF
0.9415,0,0.5488,2,SPOOF
0.8029,0,0.4809,1,SPOOF
0.926,0,0.4591,1,SPOOF
0.8776,0,0.5913,1,SPOOF
0.4451,0,0.6331,1,LIVE
0.885,0,0.6897,1,SPOOF
0.8736,0,0.4226,0,SPOOF
0.8846,0,0.5716,1,SPOOF
0.6923,0,0.6444,1,LIVE
0.7618,0,0.612,1,LIVE
0.9009,0,0.8053,1,SPOOF
0.8305,0,0.5745,1,SPOOF
0.7626,0,0.6221,1,LIVE
0.7035,0,0.4223,1,LIVE
0.8435,0,0.7426,1,SPOOF
0.8055,0,0.6576,1,SPOOF
0.0832,0,0.6505,1,LIVE
0.0385,0,0.6626,1,LIVE
0.2162,0,0.6343,1,LIVE
0.0118,0,0.6703,1,LIVE
0.0206,0,0.5954,1,LIVE
0.6506,0,0.7666,1,LIVE
0.7833,0,0.5944,1,LIVE
0.2488,0,0.4107,1,LIVE
0.6562,0,0.8687,1,LIVE
0.3615,0,0.5389,1,LIVE
0.4322,0,0.4224,0,LIVE
0.744,0,0.3959,1,LIVE
0.3597,0,0.5461,1,LIVE
0.7979,0,0.6643,1,LIVE
0.4458,0,0.4434,2,LIVE
0.6422,0,0.5335,1,LIVE
0.6234,0,0.5451,1,LIVE
0.7769,0,0.3905,0,LIVE
0.4858,0,0.3826,0,LIVE
0.2045,0,0.3777,1,LIVE
0.7091,0,0.3483,1,LIVE
0.6734,0,0.4116,0,LIVE
0.3468,0,0.7852,1,LIVE
0.757,0,0.7576,1,LIVE
0.0322,0,0.4311,1,LIVE
0.0721,0,0.6089,1,LIVE
0.1981,0,0.5609,1,LIVE
0.493,0,0.5661,1,LIVE
0.6399,0,0.5293,1,LIVE
0.4854,0,0.6058,1,LIVE
0.2917,0,0.6648,1,LIVE
0.4396,0,0.6255,1,LIVE
0.4281,0,0.6817,1,LIVE
0.3004,0,0.4821,1,LIVE
0.7207,0,0.7214,1,LIVE
0.1348,0,0.5892,1,LIVE
0.4019,0,0.3987,1,LIVE
0.2396,0,0.5899,1,LIVE
0.3584,0,0.5911,1,LIVE
0.3608,0,0.4819,1,LIVE
0.0614,0,0.6631,1,LIVE
0.2702,0,0.6056,1,LIVE
0.0768,0,0.605,1,LIVE
0.0659,0,0.5683,1,LIVE
0.0653,0,0.7324,1,LIVE
0.0817,0,0.7877,1,LIVE
0.0467,0,0.4951,0,LIVE
0.3211,0,0.6129,1,LIVE
0.3013,0,0.5413,1,LIVE
0.0517,0,0.651,1,LIVE
